System; AMD Ryzen 3 Mobile 5300U system (ubuntu);;;;;;;;;;;;;;;;;;;;;;
n;100000000;;;;;;;;;;;;;;;;;;;;;;
pattern;gu_et_all line;;;;;;;;;;;;;;;;;;;;;;
;;;;;;LLIS_Schnested_1T;;;;;;;;;LLIS_Schnested_2T;;;;;;;;
;;upper limit;requested len;actual len;offset;trial 1;trial 2;trial 3;trial 4;trial 5;min;max;average;;trial 1;trial 2;trial 3;trial 4;trial 5;min;max;average;speedup
;;100000000;1;1251;10000;4823,711;4821,14;4820,066;4826,209;4825,151;4820,066;4826,209;4823,2554;;2412,459;2412,607;2411,274;2412,651;2411,804;2411,274;2412,651;2412,159;1,999559482
;;100000000;10;1252;10000;4825,717;4824,607;4823,456;4824,898;4825,901;4823,456;4825,901;4824,9158;;2411,256;2411,477;2411,558;2412,273;2411,741;2411,256;2412,273;2411,661;2,000660872
;;100000000;100;1262;10000;4824,237;4825,641;4826,097;4824,862;4825,61;4824,237;4826,097;4825,2894;;2413,008;2412,351;2413,076;2413,074;2411,759;2411,759;2413,076;2412,6536;1,999992622
;;100000000;1000;1376;10000;4830,822;4828,807;4829,95;4829,136;4830,295;4828,807;4830,822;4829,802;;2416,271;2415,657;2415,997;2415,979;2415,304;2415,304;2416,271;2415,8416;1,999221307
;;100000000;10000;2501;10000;4802,358;4802,448;4805,634;4804,186;4806,304;4802,358;4806,304;4804,186;;2404,227;2404,179;2404,33;2405,409;2400,298;2400,298;2405,409;2403,6886;1,998672374
;;100000000;100000;13750;10000;4963,604;4962,837;4960,909;4965,186;4958,916;4958,916;4965,186;4962,2904;;2450,302;2451,57;2451,137;2446,896;2443,857;2443,857;2451,57;2448,7524;2,026456574
;;100000000;1000000;120893;10000;5038,502;5039,179;5038,091;5042,059;5043,21;5038,091;5043,21;5040,2082;;2477,839;2480,059;2482,344;2478,574;2480,674;2477,839;2482,344;2479,898;2,032425608
;;100000000;10000000;551587;10000;4613,285;4618,463;4615,198;4615,844;4613,442;4613,285;4618,463;4615,2464;;2256,057;2257,285;2256,305;2256,458;2256,52;2256,057;2257,285;2256,525;2,045289283
;;100000000;100000000;1938891;10000;4181,194;4186,009;4198,104;4188,294;4194,043;4181,194;4198,104;4189,5288;;2064,389;2061,892;2057,821;2054,978;2058,071;2054,978;2064,389;2059,4302;2,03431454
