System; AMD Ryzen 3 Mobile 5300U system (ubuntu);;;;;;;;;;;;;;;;;;;;;;
n;100000000;;;;;;;;;;;;;;;;;;;;;;
pattern;gu_et_all range;;;;;;;;;;;;;;;;;;;;;;
;;;;;;LLIS_Schnested_1T;;;;;;;;;LLIS_Schnested_2T;;;;;;;;
;;upper limit;requested len;actual len;;trial 1;trial 2;trial 3;trial 4;trial 5;min;max;average;;trial 1;trial 2;trial 3;trial 4;trial 5;min;max;average;speedup
;;1;1;1;;160,958;161,15;161,028;160,385;160,469;160,385;161,15;160,798;;83,298;82,194;83,012;82,225;83,625;82,194;83,625;82,8708;1,940345695
;;10;10;10;;1463,387;1463,302;1462,194;1462,519;1462,898;1462,194;1463,387;1462,86;;731,431;733,145;733,069;733,027;734,239;731,431;734,239;732,9822;1,995764699
;;100;100;100;;3077,328;3064,518;3065,862;3067,524;3066,889;3064,518;3077,328;3068,4242;;1534,766;1532,231;1531,025;1532,403;1531,41;1531,025;1534,766;1532,367;2,00240817
;;1000;1000;1000;;4655,888;4653,087;4649,804;4651,864;4653,244;4649,804;4655,888;4652,7774;;2327,038;2326,663;2329,171;2328,99;2328,58;2326,663;2329,171;2328,0884;1,998539832
;;10000;10000;9998;;6050,165;6049,908;6050,405;6049,951;6051,333;6049,908;6051,333;6050,3524;;2949,065;2930,013;2953,636;2932,222;2949,53;2930,013;2953,636;2942,8932;2,0559198
;;100000;100000;18943;;6179,905;6181,918;6181,553;6179,755;6180,076;6179,755;6181,918;6180,6414;;2960,453;2943,311;2958,581;2957,65;2948,381;2943,311;2960,453;2953,6752;2,092525746
;;1000000;1000000;19867;;6167,806;6173,102;6169,091;6166,968;6169,287;6166,968;6173,102;6169,2508;;2940,433;2959,702;2945,72;2954,641;2947,045;2940,433;2959,702;2949,5082;2,091620156
;;10000000;10000000;19938;;6170,958;6170,835;6168,189;6169,846;6169,669;6168,189;6170,958;6169,8994;;2942,842;2956,983;2955,888;2953,992;2947,617;2942,842;2956,983;2951,4644;2,090453607
;;100000000;100000000;19949;;6173,525;6174,536;6172,975;6166,664;6166,484;6166,484;6174,536;6170,8368;;2946,076;2942,826;2942,613;2943,902;2941,584;2941,584;2946,076;2943,4002;2,096499416
